### data file ###

set HOUR := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;
set SCENARIO := Hot_Clear Hot_Hazy Hot_Cloudy Storm_PM Clear_Breezy Mild_Balanced Overcast_Windy Cloudy_Calm;

### economic parameters ###
# set a parameter for each column
# base load MWh
param baseLoad := 
1	8.4
2	8.1
3	7.9
4	7.8
5	7.9
6	8.4
7	9.5
8	10.8
9	11.9
10	12.8
11	13.6
12	14.3
13	14.9
14	15.5
15	16
16	16.5
17	16.9
18	17.2
19	16.8
20	15.9
21	14.7
22	13.2
23	11.5
24	9.8;

# per MWh
param gridBuyPrice :=
1	28
2	27
3	26
4	25
5	25
6	27
7	31
8	36
9	42
10	48
11	54
12	60
13	68
14	76
15	86
16	98
17	108
18	116
19	112
20	98
21	84
22	68
23	52
24	40;

# per MWh
param exportPrice :=
1	6
2	6
3	6
4	6
5	6
6	6
7	6
8	6
9	6
10	6
11	6
12	6
13	6
14	6
15	6
16	6
17	6
18	6
19	6
20	6
21	6
22	6
23	6
24	6;

# per MW block
param solarContractCost :=
1	8
2	8
3	8
4	8
5	8
6	8
7	8
8	8
9	8
10	8
11	8
12	8
13	8
14	8
15	8
16	8
17	8
18	8
19	8
20	8
21	8
22	8
23	8
24	8;

# per MW block
param windContractCost :=
1	10
2	10
3	10
4	10
5	10
6	10
7	10
8	10
9	10
10	10
11	10
12	10
13	10
14	10
15	10
16	10
17	10
18	10
19	10
20	10
21	10
22	10
23	10
24	10;

# MW
param solarMaxBlocks :=
1	20
2	20
3	20
4	20
5	20
6	20
7	20
8	20
9	20
10	20
11	20
12	20
13	20
14	20
15	20
16	20
17	20
18	20
19	20
20	20
21	20
22	20
23	20
24	20;

# MW
param windMaxBlocks :=
1	14
2	14
3	14
4	14
5	14
6	14
7	14
8	14
9	14
10	14
11	14
12	14
13	14
14	14
15	14
16	14
17	14
18	14
19	14
20	14
21	14
22	14
23	14
24	14;

### probability for weather scenarios ###
param probability :=
    Hot_Clear     0.16
    Hot_Hazy      0.14
    Hot_Cloudy    0.12
    Storm_PM      0.10
    Clear_Breezy  0.14
    Mild_Balanced 0.14
    Overcast_Windy 0.10
    Cloudy_Calm   0.10;
    
### hourly economic data ###
param econData : 
 BaseLoad GridBuyPrice ExportPrice SolarContractCost WindContractCost SolarMaxBlocks WindMaxBlocks BaseSolarCF BaseWindCF :=
1 8.4 28 6 8 10 20 14 0 0.44
2 8.1 27 6 8 10 20 14 0 0.46
3 7.9 26 6 8 10 20 14 0 0.47
4 7.8 25 6 8 10 20 14 0 0.48
5 7.9 25 6 8 10 20 14 0 0.46
6 8.4 27 6 8 10 20 14 0 0.42
7 9.5 31 6 8 10 20 14 0.02 0.37
8 10.8 36 6 8 10 20 14 0.1 0.32
9 11.9 42 6 8 10 20 14 0.24 0.28
10 12.8 48 6 8 10 20 14 0.45 0.24
11 13.6 54 6 8 10 20 14 0.66 0.21
12 14.3 60 6 8 10 20 14 0.82 0.19
13 14.9 68 6 8 10 20 14 0.9 0.18
14 15.5 76 6 8 10 20 14 0.92 0.18
15 16 86 6 8 10 20 14 0.88 0.19
16 16.5 98 6 8 10 20 14 0.76 0.22
17 16.9 108 6 8 10 20 14 0.58 0.25
18 17.2 116 6 8 10 20 14 0.35 0.29
19 16.8 112 6 8 10 20 14 0.14 0.34
20 15.9 98 6 8 10 20 14 0.03 0.38
21 14.7 84 6 8 10 20 14 0 0.41
